GENE    CHR      START       STOP  NSNPS  NPARAM   N        ZSTAT            P
7075      1   43300895   43323110     18       3  74       0.5697      0.28444
57568     1  232397965  232630696    135      22  74      0.15709      0.43759
79623     2   30910465   31161688     76      15  74    -0.053523      0.52134
165257    2  119156243  119158895      2       1  74        3.053    0.0011329
10477     2  180980385  181063427     41       3  74      0.64921       0.2581
2066      2  211375717  212539155    600      50  74      -2.7033      0.99657
151903    3   46921730   46982018     17       1  74       1.3962     0.081324
23218     3   46979683   47009704      8       1  74    -0.066671      0.52658
27086     3   70954714   71583989    188      29  74      -1.6373      0.94922
131034    3  131533560  132285547    392      40  74      0.34932      0.36343
54502     4   40423255   40630786     51      14  74     -0.90175       0.8164
2246      5  142592178  142698070     18       4  74      0.15515      0.43835
51389     6  116571367  116593601      8       2  74       3.2163   0.00064934
345895    6  116593900  116633051      6       2  74       3.2338   0.00061086
221302    6  116635618  116668810      1       1  74     -0.95596      0.83045
51390     6  143059363  143340343     89      13  74      0.25063      0.40105
6671      7   21428071   21514822     77       5  74      -0.2522      0.59956
51678     7   24573346   24693703     35       2  74        2.003     0.022588
60412     7  133253067  134065761    193      14  74     0.015815      0.49369
64478     8    2935353    4994806   2206     313  74      -1.1452      0.87394
79741    10   32446082   32882864     91       3  74      0.68146      0.24779
64072    10   71396934   71815947    252      52  74       2.3044       0.0106
85363    11    5590982    5685109     71      13  74      0.70077      0.24172
7275     11    8019180    8106241     33       8  74       2.2783     0.011354
582      11   66510648   66533613      5       1  74        2.948    0.0015994
7450     12    5948874    6124670    141      16  74    -0.046338      0.51848
51071    12   15911172   16037381     52       3  74      -2.0385      0.97925
145567   14   90540588   90816479     95      13  74       2.9854    0.0014162
170691   15   99971438  100342087    263      42  74      0.56922       0.2846
4836     17   45061283   45109016     14       2  74       1.1873      0.11755
113026   17   45111640   45132533     12       4  74       1.3246      0.09266
10040    17   54900691   54961967     13       1  74       2.6685    0.0038101
27091    17   66835117   66887296     17       6  74      -1.2643      0.89693
